identifier,sentence,alternative1,alternative2,alternative3,alternative4,alternative5,alternative6,alternative7,alternative8,type1,type2,def1,def2
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-1#char=0,204","Founded in 1897 as Sport-Club Juventus by a group of young Torinese students, among them, who was their first president, Eugenio Canfari, and his brother Enrico, author of the company's historical memory.",Sport-Club Juventus__19__38,Juventus__30__38,,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-1#char=0,204","Founded in 1897 as Sport-Club Juventus by a group of young Torinese students, among them, who was their first president, Eugenio Canfari, and his brother Enrico, author of the company's historical memory.",first president__104__119,president__110__119,,,,,,,Role,,A Concept that classifies an Object,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-10#char=0,160","He graduated from high school at 16, then moved to the University of Turin. Despite a strong interest for mathematics and physics, he decided to study medicine.",University of Turin__55__74,University__55__65,Turin__69__74,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-11#char=0,193",Dulbecco was the recipient of the Selman A. Waksman Award in Microbiology from the National Academy of Sciences in 1974. He was elected a Foreign Member of the Royal Society (ForMemRS) in 1974.,Selman A. Waksman Award in Microbiology__34__73,Selman A. Waksman__34__51,Selman__34__40,Waksman__44__51,Award__52__57,Microbiology__61__73,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-11#char=0,193",Dulbecco was the recipient of the Selman A. Waksman Award in Microbiology from the National Academy of Sciences in 1974. He was elected a Foreign Member of the Royal Society (ForMemRS) in 1974.,National Academy of Sciences__83__111,National Academy__83__99,Academy of Sciences__92__111,Sciences__103__111,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-11#char=0,193",Dulbecco was the recipient of the Selman A. Waksman Award in Microbiology from the National Academy of Sciences in 1974. He was elected a Foreign Member of the Royal Society (ForMemRS) in 1974.,Foreign Member of the Royal Society__138__173,Foreign Member__138__152,Royal Society__160__173,,,,,,Organization,Role,,A Concept that classifies an Object
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-12#char=0,321","With the help of physicist Enrico Fermi, whom he knew from his time at the University of Rome, Luria received a Rockefeller Foundation fellowship at Columbia University. He soon met Delbrück and Hershey, and they collaborated on experiments at Cold Spring Harbor Laboratory and in Delbrück's lab at Vanderbilt University.",University of Rome__75__93,University__75__85,Rome__89__93,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-13#char=0,238","From 1943 to 1950, he worked at Indiana University. His first graduate student was James D. Watson, who went on to discover the structure of DNA with Francis Crick. In January 1947, Luria became a naturalized citizen of the United States.",Indiana University__32__50,Indiana__32__39,,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-13#char=0,238","From 1943 to 1950, he worked at Indiana University. His first graduate student was James D. Watson, who went on to discover the structure of DNA with Francis Crick. In January 1947, Luria became a naturalized citizen of the United States.",first graduate student__56__78,graduate student__62__78,,,,,,,Role,,A Concept that classifies an Object,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-13#char=0,238","From 1943 to 1950, he worked at Indiana University. His first graduate student was James D. Watson, who went on to discover the structure of DNA with Francis Crick. In January 1947, Luria became a naturalized citizen of the United States.",James D. Watson__83__98,James D__83__90,James__83__88,Watson__92__98,,,,,Person,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-13#char=0,238","From 1943 to 1950, he worked at Indiana University. His first graduate student was James D. Watson, who went on to discover the structure of DNA with Francis Crick. In January 1947, Luria became a naturalized citizen of the United States.",naturalized citizen of the United States__197__237,naturalized citizen__197__216,citizen of the United States__209__237,citizen__209__216,United States__224__237,United__224__230,,,Role,Place,A Concept that classifies an Object,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-14#char=0,240","A president is the leader of a country or a division or part of a country, typically a republic, a democracy, or a dictatorship. The title ""president"" is sometimes used by extension for leaders of other groups, including corporate entities.",corporate entities__221__239,corporate__221__230,entities__231__239,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-15#char=0,206","Etymologically, a president is one who presides. Originally, the term referred to the presiding officer of a ceremony or meeting (i.e., chairman), but today it most commonly refers to an executive official.",presiding officer__86__103,officer__96__103,,,,,,,Role,,A Concept that classifies an Object,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-15#char=0,206","Etymologically, a president is one who presides. Originally, the term referred to the presiding officer of a ceremony or meeting (i.e., chairman), but today it most commonly refers to an executive official.",executive official__187__205,executive__187__196,official__197__205,,,,,,Role,,A Concept that classifies an Object,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-16#char=0,185","Among other things, ""President"" today is a common title for the heads of state of most republics, whether presidential republics, semi-presidential republics or parliamentary republics.",heads of state__64__78,heads__64__69,state__73__78,,,,,,Role,,A Concept that classifies an Object,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-16#char=0,185","Among other things, ""President"" today is a common title for the heads of state of most republics, whether presidential republics, semi-presidential republics or parliamentary republics.",semi-presidential republics__130__157,semi-presidential__130__147,,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-16#char=0,185","Among other things, ""President"" today is a common title for the heads of state of most republics, whether presidential republics, semi-presidential republics or parliamentary republics.",parliamentary republics__161__184,parliamentary__161__174,,,,,,,Organization,,,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-17#char=0,188","Its website was launched on February 4, 2004 by Mark Zuckerberg with his Harvard College roommates and fellow students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes.",Harvard College__73__88,Harvard__73__80,,,,,,,Organization,,,
